"title","minrate","mincost"
Candidate Perdition,0.99,9.99
Candles Grapes,0.99,9.99
Canyon Stock,0.99,9.99
Caper Motions,0.99,9.99
Caribbean Liberty,0.99,9.99
Carol Texas,0.99,9.99
Carrie Bunch,0.99,9.99
Casablanca Super,0.99,9.99
Casper Dragonfly,0.99,9.99
Cassidy Wyoming,0.99,9.99
Cat Coneheads,0.99,9.99
Catch Amistad,0.99,9.99
Cause Date,0.99,9.99
Celebrity Horn,0.99,9.99
Center Dinosaur,0.99,9.99
Chainsaw Uptown,0.99,9.99
Champion Flatliners,0.99,9.99
Chance Resurrection,0.99,9.99
Clash Freddy,0.99,9.99
Chaplin License,0.99,9.99
Charade Duffel,0.99,9.99
Chariots Conspiracy,0.99,9.99
Chasing Fight,0.99,9.99
Cheaper Clyde,0.99,9.99
Chicago North,0.99,9.99
Chicken Hellfighters,0.99,9.99
Chill Luck,0.99,9.99
Chinatown Gladiator,0.99,9.99
Chisum Behavior,0.99,9.99
Chitty Lock,0.99,9.99
Chocolat Harry,0.99,9.99
Chocolate Duck,0.99,9.99
Christmas Moonshine,0.99,9.99
Cider Desire,0.99,9.99
Cincinatti Whisperer,0.99,9.99
Circus Youth,0.99,9.99
Citizen Shrek,0.99,9.99
Cleopatra Devil,0.99,9.99
Clerks Angels,0.99,9.99
Clockwork Paradise,0.99,9.99
Clones Pinocchio,0.99,9.99
Closer Bang,0.99,9.99
Club Graffiti,0.99,9.99
Clue Grail,0.99,9.99
Clueless Bucket,0.99,9.99
Clyde Theory,0.99,9.99
Coast Rainbow,0.99,9.99
Core Suit,0.99,9.99
Coldblooded Darling,0.99,9.99
Color Philadelphia,0.99,9.99
Coma Head,0.99,9.99
Comancheros Enemy,0.99,9.99
Comforts Rush,0.99,9.99
Command Darling,0.99,9.99
Commandments Express,0.99,9.99
Coneheads Smoochy,0.99,9.99
Confessions Maguire,0.99,9.99
Confidential Interview,0.99,9.99
Confused Candles,0.99,9.99
Congeniality Quest,0.99,9.99
Connecticut Tramp,0.99,9.99
Connection Microcosmos,0.99,9.99
Conquerer Nuts,0.99,9.99
Conspiracy Spirit,0.99,9.99
Contact Anonymous,0.99,9.99
Control Anthem,0.99,9.99
Conversation Downhill,0.99,9.99
Cowboy Doom,0.99,9.99
Craft Outfield,0.99,9.99
Cranes Reservoir,0.99,9.99
Crazy Home,0.99,9.99
Creatures Shakespeare,0.99,9.99
Creepers Kane,0.99,9.99
Crooked Frogmen,0.99,9.99
Crossing Divorce,0.99,9.99
Crossroads Casualties,0.99,9.99
Crow Grease,0.99,9.99
Crowds Telemark,0.99,9.99
Cruelty Unforgiven,0.99,9.99
Crusade Honey,0.99,9.99
Crystal Breaking,0.99,9.99
Cupboard Sinners,0.99,9.99
Curtain Videotape,0.99,9.99
Cyclone Family,0.99,9.99
Daddy Pittsburgh,0.99,9.99
Daisy Menagerie,0.99,9.99
Dalmations Sweden,0.99,9.99
Dances None,0.99,9.99
Dancing Fever,0.99,9.99
Dangerous Uptown,0.99,9.99
Dares Pluto,0.99,9.99
Darkness War,0.99,9.99
Darko Dorado,0.99,9.99
Darling Breaking,0.99,9.99
Darn Forrester,0.99,9.99
Daughter Madigan,0.99,9.99
Dawn Pond,0.99,9.99
Day Unfaithful,0.99,9.99
Dazed Punk,0.99,9.99
Deceiver Betrayed,0.99,9.99
Deep Crusade,0.99,9.99
Deer Virginian,0.99,9.99
Deliverance Mulholland,0.99,9.99
Desert Poseidon,0.99,9.99
Desire Alien,0.99,9.99
Desperate Trainspotting,0.99,9.99
Destination Jerk,0.99,9.99
Destiny Saturday,0.99,9.99
Details Packer,0.99,9.99
Detective Vision,0.99,9.99
Devil Desire,0.99,9.99
Diary Panic,0.99,9.99
Dinosaur Secretary,0.99,9.99
Dirty Ace,0.99,9.99
Disciple Mother,0.99,9.99
Disturbing Scarface,0.99,9.99
Divide Monster,0.99,9.99
Divine Resurrection,0.99,9.99
Divorce Shining,0.99,9.99
Doctor Grail,0.99,9.99
Dogma Family,0.99,9.99
Dolls Rage,0.99,9.99
Donnie Alley,0.99,9.99
Doom Dancing,0.99,9.99
Doors President,0.99,9.99
Dorado Notting,0.99,9.99
Double Wrath,0.99,9.99
Doubtfire Labyrinth,0.99,9.99
Downhill Enough,0.99,9.99
Dozen Lion,0.99,9.99
Dracula Crystal,0.99,9.99
Dragon Squad,0.99,9.99
Dragonfly Strangers,0.99,9.99
Dream Pickup,0.99,9.99
Drifter Commandments,0.99,9.99
Driver Annie,0.99,9.99
Driving Polish,0.99,9.99
Drop Waterfront,0.99,9.99
Drumline Cyclone,0.99,9.99
Drums Dynamite,0.99,9.99
Duck Racer,0.99,9.99
Dude Blindness,0.99,9.99
Duffel Apocalypse,0.99,9.99
Dumbo Lust,0.99,9.99
Durham Panky,0.99,9.99
Dwarfs Alter,0.99,9.99
Dynamite Tarzan,0.99,9.99
Eagles Panky,0.99,9.99
Early Home,0.99,9.99
Earring Instinct,0.99,9.99
Earth Vision,0.99,9.99
Easy Gladiator,0.99,9.99
Edge Kissing,0.99,9.99
Effect Gladiator,0.99,9.99
Egg Igby,0.99,9.99
Egypt Tenenbaums,0.99,9.99
Element Freddy,0.99,9.99
Elephant Trojan,0.99,9.99
Elf Murder,0.99,9.99
Elizabeth Shane,0.99,9.99
Empire Malkovich,0.99,9.99
Encino Elf,0.99,9.99
Encounters Curtain,0.99,9.99
Ending Crowds,0.99,9.99
Enemy Odds,0.99,9.99
English Bulworth,0.99,9.99
Enough Raging,0.99,9.99
Entrapment Satisfaction,0.99,9.99
Escape Metropolis,0.99,9.99
Eve Resurrection,0.99,9.99
Everyone Craft,0.99,9.99
Evolution Alter,0.99,9.99
Excitement Eve,0.99,9.99
Exorcist Sting,0.99,9.99
Expecations Natural,0.99,9.99
Expendable Stallion,0.99,9.99
Express Lonely,0.99,9.99
Extraordinary Conquerer,0.99,9.99
Eyes Driving,0.99,9.99
Factory Dragon,0.99,9.99
Falcon Volume,0.99,9.99
Family Sweet,0.99,9.99
Fantasia Park,0.99,9.99
Fantasy Troopers,0.99,9.99
Fargo Gandhi,0.99,9.99
Fatal Haunted,0.99,9.99
Feathers Metal,0.99,9.99
Fellowship Autumn,0.99,9.99
Ferris Mother,0.99,9.99
Feud Frogmen,0.99,9.99
Fever Empire,0.99,9.99
Fiction Christmas,0.99,9.99
Fiddler Lost,0.99,9.99
Fidelity Devil,0.99,9.99
Fight Jawbreaker,0.99,9.99
Finding Anaconda,0.99,9.99
Fire Wolves,0.99,9.99
Fireball Philadelphia,0.99,9.99
Firehouse Vietnam,0.99,9.99
Fish Opus,0.99,9.99
Flamingos Connecticut,0.99,9.99
Flash Wars,0.99,9.99
Flatliners Killer,0.99,9.99
Flight Lies,0.99,9.99
Flintstones Happiness,0.99,9.99
Floats Garden,0.99,9.99
Flying Hook,0.99,9.99
Fool Mockingbird,0.99,9.99
Forever Candidate,0.99,9.99
Forrest Sons,0.99,9.99
Forrester Comancheros,0.99,9.99
Forward Temple,0.99,9.99
Frankenstein Stranger,0.99,9.99
Freaky Pocus,0.99,9.99
Freddy Storm,0.99,9.99
Freedom Cleopatra,0.99,9.99
French Holiday,0.99,9.99
Frida Slipper,0.99,9.99
Frisco Forrest,0.99,9.99
Frogmen Breaking,0.99,9.99
Frontier Cabin,0.99,9.99
Frost Head,0.99,9.99
Fugitive Maguire,0.99,9.99
Full Flatliners,0.99,9.99
Fury Murder,0.99,9.99
Gables Metropolis,0.99,9.99
Galaxy Sweethearts,0.99,9.99
Games Bowfinger,0.99,9.99
Gandhi Kwai,0.99,9.99
Gangs Pride,0.99,9.99
Garden Island,0.99,9.99
Gaslight Crusade,0.99,9.99
Gathering Calendar,0.99,9.99
Gentlemen Stage,0.99,9.99
Ghost Groundhog,0.99,9.99
Ghostbusters Elf,0.99,9.99
Giant Troopers,0.99,9.99
Gilbert Pelican,0.99,9.99
Gilmore Boiled,0.99,9.99
Gladiator Westward,0.99,9.99
Glass Dying,0.99,9.99
Gleaming Jawbreaker,0.99,9.99
Glory Tracy,0.99,9.99
Go Purple,0.99,9.99
Godfather Diary,0.99,9.99
Gold River,0.99,9.99
Goldfinger Sensibility,0.99,9.99
Goldmine Tycoon,0.99,9.99
Gone Trouble,0.99,9.99
Goodfellas Salute,0.99,9.99
Gorgeous Bingo,0.99,9.99
Gosford Donnie,0.99,9.99
Graceland Dynamite,0.99,9.99
Graduate Lord,0.99,9.99
Graffiti Love,0.99,9.99
Grail Frankenstein,0.99,9.99
Grapes Fury,0.99,9.99
Grease Youth,0.99,9.99
Greatest North,0.99,9.99
Greedy Roots,0.99,9.99
Greek Everyone,0.99,9.99
Grinch Massage,0.99,9.99
Grit Clockwork,0.99,9.99
Groove Fiction,0.99,9.99
Groundhog Uncut,0.99,9.99
Gump Date,0.99,9.99
Gun Bonnie,0.99,9.99
Gunfight Moon,0.99,9.99
Gunfighter Mussolini,0.99,9.99
Guys Falcon,0.99,9.99
Half Outfield,0.99,9.99
Hall Cassidy,0.99,9.99
Halloween Nuts,0.99,9.99
Hamlet Wisdom,0.99,9.99
Identity Lover,0.99,9.99
Handicap Boondock,0.99,9.99
Hanging Deep,0.99,9.99
Hanky October,0.99,9.99
Hanover Galaxy,0.99,9.99
Happiness United,0.99,9.99
Hardly Robbers,0.99,9.99
Harold French,0.99,9.99
Harper Dying,0.99,9.99
Harry Idaho,0.99,9.99
Hate Handicap,0.99,9.99
Haunted Antitrust,0.99,9.99
Haunting Pianist,0.99,9.99
Hawk Chill,0.99,9.99
Head Stranger,0.99,9.99
Heartbreakers Bright,0.99,9.99
Heaven Freedom,0.99,9.99
Heavenly Gun,0.99,9.99
Heavyweights Beast,0.99,9.99
Hedwig Alter,0.99,9.99
Hellfighters Sierra,0.99,9.99
High Encino,0.99,9.99
Highball Potter,0.99,9.99
Hills Neighbors,0.99,9.99
Hobbit Alien,0.99,9.99
Hocus Frida,0.99,9.99
Holes Brannigan,0.99,9.99
Holiday Games,0.99,9.99
Hollow Jeopardy,0.99,9.99
Hollywood Anonymous,0.99,9.99
Holocaust Highball,0.99,9.99
Holy Tadpole,0.99,9.99
Home Pity,0.99,9.99
Homeward Cider,0.99,9.99
Homicide Peach,0.99,9.99
Honey Ties,0.99,9.99
Hook Chariots,0.99,9.99
Idols Snatchers,0.99,9.99
Hoosiers Birdcage,0.99,9.99
Hope Tootsie,0.99,9.99
Horn Working,0.99,9.99
Horror Reign,0.99,9.99
Hotel Happiness,0.99,9.99
Hours Rage,0.99,9.99
House Dynamite,0.99,9.99
Human Graffiti,0.99,9.99
Hunchback Impossible,0.99,9.99
Hunger Roof,0.99,9.99
Hunter Alter,0.99,9.99
Hunting Musketeers,0.99,9.99
Hurricane Affair,0.99,9.99
Hustler Party,0.99,9.99
Hyde Doctor,0.99,9.99
Hysterical Grail,0.99,9.99
Ice Crossing,0.99,9.99
Idaho Love,0.99,9.99
Igby Maker,0.99,9.99
Illusion Amelie,0.99,9.99
Image Princess,0.99,9.99
Impact Aladdin,0.99,9.99
Impossible Prejudice,0.99,9.99
Inch Jet,0.99,9.99
Independence Hotel,0.99,9.99
Indian Love,0.99,9.99
Informer Double,0.99,9.99
Innocent Usual,0.99,9.99
Insects Stone,0.99,9.99
Insider Arizona,0.99,9.99
Instinct Airport,0.99,9.99
Intentions Empire,0.99,9.99
Interview Liaisons,0.99,9.99
Intolerable Intentions,0.99,9.99
Intrigue Worst,0.99,9.99
Invasion Cyclone,0.99,9.99
Iron Moon,0.99,9.99
Ishtar Rocketeer,0.99,9.99
Island Exorcist,0.99,9.99
Italian African,0.99,9.99
Jacket Frisco,0.99,9.99
Jade Bunch,0.99,9.99
Japanese Run,0.99,9.99
Jason Trap,0.99,9.99
Jawbreaker Brooklyn,0.99,9.99
Jaws Harry,0.99,9.99
Jedi Beneath,0.99,9.99
Jeepers Wedding,0.99,9.99
Jekyll Frogmen,0.99,9.99
Jeopardy Encino,0.99,9.99
Jericho Mulan,0.99,9.99
Jerk Paycheck,0.99,9.99
Jersey Sassy,0.99,9.99
Jet Neighbors,0.99,9.99
Jingle Sagebrush,0.99,9.99
Joon Northwest,0.99,9.99
Juggler Hardly,0.99,9.99
Jumanji Blade,0.99,9.99
Jumping Wrath,0.99,9.99
Jungle Closer,0.99,9.99
Kane Exorcist,0.99,9.99
Karate Moon,0.99,9.99
Kentuckian Giant,0.99,9.99
Kick Savannah,0.99,9.99
Kill Brotherhood,0.99,9.99
Killer Innocent,0.99,9.99
King Evolution,0.99,9.99
Kiss Glory,0.99,9.99
Kissing Dolls,0.99,9.99
Knock Warlock,0.99,9.99
Kramer Chocolate,0.99,9.99
Kwai Homeward,0.99,9.99
Labyrinth League,0.99,9.99
Rush Goodfellas,0.99,9.99
Lady Stage,0.99,9.99
Ladybugs Armageddon,0.99,9.99
Lambs Cincinatti,0.99,9.99
Language Cowboy,0.99,9.99
Lawless Vision,0.99,9.99
Lawrence Love,0.99,9.99
League Hellfighters,0.99,9.99
Leathernecks Dwarfs,0.99,9.99
Lebowski Soldiers,0.99,9.99
Legally Secretary,0.99,9.99
Legend Jedi,0.99,9.99
Lesson Cleopatra,0.99,9.99
Liaisons Sweet,0.99,9.99
Liberty Magnificent,0.99,9.99
License Weekend,0.99,9.99
Lies Treatment,0.99,9.99
Life Twisted,0.99,9.99
Lights Deer,0.99,9.99
Mars Roman,0.99,9.99
Lion Uncut,0.99,9.99
Loathing Legally,0.99,9.99
Lock Rear,0.99,9.99
Lola Agent,0.99,9.99
Lolita World,0.99,9.99
Lonely Elephant,0.99,9.99
Lord Arizona,0.99,9.99
Lose Inch,0.99,9.99
Loser Hustler,0.99,9.99
Lost Bird,0.99,9.99
Louisiana Harry,0.99,9.99
Love Suicides,0.99,9.99
Lovely Jingle,0.99,9.99
Lover Truman,0.99,9.99
Loverboy Attacks,0.99,9.99
Luck Opus,0.99,9.99
Lucky Flying,0.99,9.99
Luke Mummy,0.99,9.99
Mask Peach,0.99,9.99
Lust Lock,0.99,9.99
Madigan Dorado,0.99,9.99
Madison Trap,0.99,9.99
Madness Attacks,0.99,9.99
Madre Gables,0.99,9.99
Magic Mallrats,0.99,9.99
Magnificent Chitty,0.99,9.99
Magnolia Forrester,0.99,9.99
Maguire Apache,0.99,9.99
Maiden Home,0.99,9.99
Majestic Floats,0.99,9.99
Maker Gables,0.99,9.99
Malkovich Pet,0.99,9.99
Mallrats United,0.99,9.99
Maltese Hope,0.99,9.99
Manchurian Curtain,0.99,9.99
Mannequin Worst,0.99,9.99
Married Go,0.99,9.99
Masked Bubble,0.99,9.99
Massacre Usual,0.99,9.99
Massage Image,0.99,9.99
Matrix Snowman,0.99,9.99
Maude Mod,0.99,9.99
Meet Chocolate,0.99,9.99
Memento Zoolander,0.99,9.99
Menagerie Rushmore,0.99,9.99
Mermaid Insects,0.99,9.99
Metal Armageddon,0.99,9.99
Metropolis Coma,0.99,9.99
Microcosmos Paradise,0.99,9.99
Midnight Westward,0.99,9.99
Midsummer Groundhog,0.99,9.99
Mighty Luck,0.99,9.99
Mile Mulan,0.99,9.99
Million Ace,0.99,9.99
Minds Truman,0.99,9.99
Mine Titans,0.99,9.99
Minority Kiss,0.99,9.99
Miracle Virtual,0.99,9.99
Mission Zoolander,0.99,9.99
Mixed Doors,0.99,9.99
Mob Duffel,0.99,9.99
Mockingbird Hollywood,0.99,9.99
Mod Secretary,0.99,9.99
Model Fish,0.99,9.99
Modern Dorado,0.99,9.99
Money Harold,0.99,9.99
Monsoon Cause,0.99,9.99
Monster Spartacus,0.99,9.99
Monterey Labyrinth,0.99,9.99
Montezuma Command,0.99,9.99
Moon Bunch,0.99,9.99
Moonshine Cabin,0.99,9.99
Moonwalker Fool,0.99,9.99
Mosquito Armageddon,0.99,9.99
Mother Oleander,0.99,9.99
Motions Details,0.99,9.99
Moulin Wake,0.99,9.99
Mourning Purple,0.99,9.99
Movie Shakespeare,0.99,9.99
Mulan Moon,0.99,9.99
Mulholland Beast,0.99,9.99
Mummy Creatures,0.99,9.99
Muppet Mile,0.99,9.99
Murder Antitrust,0.99,9.99
Muscle Bright,0.99,9.99
Music Boondock,0.99,9.99
Musketeers Wait,0.99,9.99
Mussolini Spoilers,0.99,9.99
Mystic Truman,0.99,9.99
Name Detective,0.99,9.99
Nash Chocolat,0.99,9.99
National Story,0.99,9.99
Natural Stock,0.99,9.99
Necklace Outbreak,0.99,9.99
Neighbors Charade,0.99,9.99
Nemo Campus,0.99,9.99
Network Peak,0.99,9.99
Newsies Story,0.99,9.99
Newton Labyrinth,0.99,9.99
Nightmare Chill,0.99,9.99
None Spiking,0.99,9.99
Noon Papi,0.99,9.99
North Tequila,0.99,9.99
Northwest Polish,0.99,9.99
Notorious Reunion,0.99,9.99
Notting Speakeasy,0.99,9.99
Novocaine Flight,0.99,9.99
Nuts Ties,0.99,9.99
October Submarine,0.99,9.99
Odds Boogie,0.99,9.99
Oklahoma Jumanji,0.99,9.99
Oleander Clue,0.99,9.99
Open African,0.99,9.99
Operation Operation,0.99,9.99
Opposite Necklace,0.99,9.99
Opus Ice,0.99,9.99
Orange Grapes,0.99,9.99
Order Betrayed,0.99,9.99
Orient Closer,0.99,9.99
Oscar Gold,0.99,9.99
Others Soup,0.99,9.99
Outbreak Divine,0.99,9.99
Outfield Massacre,0.99,9.99
Outlaw Hanky,0.99,9.99
Oz Liaisons,0.99,9.99
Pacific Amistad,0.99,9.99
Packer Madigan,0.99,9.99
Pajama Jawbreaker,0.99,9.99
Panic Club,0.99,9.99
Panky Submarine,0.99,9.99
Panther Reds,0.99,9.99
Papi Necklace,0.99,9.99
Paradise Sabrina,0.99,9.99
Paris Weekend,0.99,9.99
Park Citizen,0.99,9.99
Party Knock,0.99,9.99
Past Suicides,0.99,9.99
Paths Control,0.99,9.99
Patient Sister,0.99,9.99
Patriot Roman,0.99,9.99
Patton Interview,0.99,9.99
Paycheck Wait,0.99,9.99
Peach Innocent,0.99,9.99
Peak Forever,0.99,9.99
Pearl Destiny,0.99,9.99
Pelican Comforts,0.99,9.99
Perdition Fargo,0.99,9.99
Perfect Groove,0.99,9.99
Personal Ladybugs,0.99,9.99
Pet Haunting,0.99,9.99
Phantom Glory,0.99,9.99
Philadelphia Wife,0.99,9.99
Pianist Outfield,0.99,9.99
Pickup Driving,0.99,9.99
Pilot Hoosiers,0.99,9.99
Pinocchio Simon,0.99,9.99
Pirates Roxanne,0.99,9.99
Pittsburgh Hunchback,0.99,9.99
Pity Bound,0.99,9.99
Pizza Jumanji,0.99,9.99
Platoon Instinct,0.99,9.99
Pluto Oleander,0.99,9.99
Pocus Pulp,0.99,9.99
Polish Brooklyn,0.99,9.99
Pollock Deliverance,0.99,9.99
Pond Seattle,0.99,9.99
Poseidon Forever,0.99,9.99
Potluck Mixed,0.99,9.99
Potter Connecticut,0.99,9.99
Prejudice Oleander,0.99,9.99
President Bang,0.99,9.99
Pride Alamo,0.99,9.99
Primary Glass,0.99,9.99
Princess Giant,0.99,9.99
Private Drop,0.99,9.99
Prix Undefeated,0.99,9.99
Psycho Shrunk,0.99,9.99
Pulp Beverly,0.99,9.99
Punk Divorce,0.99,9.99
Pure Runner,0.99,9.99
Purple Movie,0.99,9.99
Queen Luke,0.99,9.99
Quest Mussolini,0.99,9.99
Quills Bull,0.99,9.99
Racer Egg,0.99,9.99
Rage Games,0.99,9.99
Raging Airplane,0.99,9.99
Raiders Antitrust,0.99,9.99
Rainbow Shock,0.99,9.99
Random Go,0.99,9.99
Range Moonwalker,0.99,9.99
Reap Unfaithful,0.99,9.99
Rear Trading,0.99,9.99
Rebel Airport,0.99,9.99
Records Zorro,0.99,9.99
Redemption Comforts,0.99,9.99
Reds Pocus,0.99,9.99
Reef Salute,0.99,9.99
Reign Gentlemen,0.99,9.99
Remember Diary,0.99,9.99
Requiem Tycoon,0.99,9.99
Reservoir Adaptation,0.99,9.99
Resurrection Silverado,0.99,9.99
Reunion Witches,0.99,9.99
Rider Caddyshack,0.99,9.99
Ridgemont Submarine,0.99,9.99
Right Cranes,0.99,9.99
Rings Heartbreakers,0.99,9.99
River Outlaw,0.99,9.99
Road Roxanne,0.99,9.99
Robbers Joon,0.99,9.99
Robbery Bright,0.99,9.99
Rock Instinct,0.99,9.99
Rocketeer Mother,0.99,9.99
Rocky War,0.99,9.99
Rollercoaster Bringing,0.99,9.99
Roman Punk,0.99,9.99
Roof Champion,0.99,9.99
Room Roman,0.99,9.99
Roots Remember,0.99,9.99
Roses Treasure,0.99,9.99
Rouge Squad,0.99,9.99
Roxanne Rebel,0.99,9.99
Rugrats Shakespeare,0.99,9.99
Rules Human,0.99,9.99
Run Pacific,0.99,9.99
Runaway Tenenbaums,0.99,9.99
Runner Madigan,0.99,9.99
Rushmore Mermaid,0.99,9.99
Sabrina Midnight,0.99,9.99
Saddle Antitrust,0.99,9.99
Sagebrush Clueless,0.99,9.99
Saints Bride,0.99,9.99
Salute Apollo,0.99,9.99
Samurai Lion,0.99,9.99
Santa Paris,0.99,9.99
Sassy Packer,0.99,9.99
Satisfaction Confidential,0.99,9.99
Saturday Lambs,0.99,9.99
Saturn Name,0.99,9.99
Savannah Town,0.99,9.99
Scalawag Duck,0.99,9.99
Scarface Bang,0.99,9.99
School Jacket,0.99,9.99
Scissorhands Slums,0.99,9.99
Ship Wonderland,0.99,9.99
Scorpion Apollo,0.99,9.99
Sea Virgin,0.99,9.99
Seabiscuit Punk,0.99,9.99
Searchers Wait,0.99,9.99
Seattle Expecations,0.99,9.99
Secret Groundhog,0.99,9.99
Secretary Rouge,0.99,9.99
Secrets Paradise,0.99,9.99
Sense Greek,0.99,9.99
Sensibility Rear,0.99,9.99
Seven Swarm,0.99,9.99
Shakespeare Saddle,0.99,9.99
Shane Darkness,0.99,9.99
Shanghai Tycoon,0.99,9.99
Shawshank Bubble,0.99,9.99
Shepherd Midsummer,0.99,9.99
Shining Roses,0.99,9.99
Shock Cabin,0.99,9.99
Shootist Superfly,0.99,9.99
Show Lord,0.99,9.99
Shrek License,0.99,9.99
Shrunk Divine,0.99,9.99
Side Ark,0.99,9.99
Siege Madre,0.99,9.99
Sierra Divide,0.99,9.99
Silence Kane,0.99,9.99
Silverado Goldfinger,0.99,9.99
Simon North,0.99,9.99
Sinners Atlantis,0.99,9.99
Sister Freddy,0.99,9.99
Sky Miracle,0.99,9.99
Slacker Liaisons,0.99,9.99
Sleeping Suspects,0.99,9.99
Sleepless Monsoon,0.99,9.99
Sleepy Japanese,0.99,9.99
Sleuth Orient,0.99,9.99
Sling Luke,0.99,9.99
Slipper Fidelity,0.99,9.99
Slums Duck,0.99,9.99
Smile Earring,0.99,9.99
Smoking Barbarella,0.99,9.99
Smoochy Control,0.99,9.99
Snatch Slipper,0.99,9.99
Snatchers Montezuma,0.99,9.99
Snowman Rollercoaster,0.99,9.99
Soldiers Evolution,0.99,9.99
Something Duck,0.99,9.99
Song Hedwig,0.99,9.99
Sons Interview,0.99,9.99
Sorority Queen,0.99,9.99
Soup Wisdom,0.99,9.99
South Wait,0.99,9.99
Spartacus Cheaper,0.99,9.99
Speakeasy Date,0.99,9.99
Speed Suit,0.99,9.99
Spice Sorority,0.99,9.99
Spiking Element,0.99,9.99
Spinal Rocky,0.99,9.99
Spirit Flintstones,0.99,9.99
Spirited Casualties,0.99,9.99
Splash Gump,0.99,9.99
Splendor Patton,0.99,9.99
Spoilers Hellfighters,0.99,9.99
Spy Mile,0.99,9.99
Squad Fish,0.99,9.99
Stage World,0.99,9.99
Stagecoach Armageddon,0.99,9.99
Stallion Sundance,0.99,9.99
Stampede Disturbing,0.99,9.99
Star Operation,0.99,9.99
State Wasteland,0.99,9.99
Steel Santa,0.99,9.99
Steers Armageddon,0.99,9.99
